"","Player ID","Player","Position","Passing Yards","Passing TDs","Rushing Yards","Rushing TDs","Receiving Yards","Receiving TDs","Picture"
"1","00-0023459","Aaron Rodgers","QB",3322,24,61,1,-9,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y"
"2","00-0026498","Matthew Stafford","QB",4707,46,1,0,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4"
"3","00-0030506","Travis Kelce","TE",0,0,1,0,851,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ebc5j60djpinc9elvlc5"
"4","00-0030565","Geno Smith","QB",3025,19,109,0,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqy0933vz5yogwlefb1s"
"5","00-0031588","Stefon Diggs","WR",0,0,0,0,1013,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cemcexmscsarpvwhafln"
"6","00-0032764","Derrick Henry","RB",0,0,1595,16,150,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv"
"7","00-0033077","Dak Prescott","QB",4552,30,177,2,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn"
"8","00-0033106","Jared Goff","QB",4564,34,45,0,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yggfwr4ak4po9byj0qor"
"9","00-0033119","Jacoby Brissett","QB",3366,23,168,1,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rdxowm5dvpbb8p3aazbc"
"10","00-0033280","Christian McCaffrey","RB",0,0,1202,10,924,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj"
"11","00-0033873","Patrick Mahomes","QB",3587,22,422,5,-10,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iireqbn32cpg9fn4sfy7"
"12","00-0034348","Courtland Sutton","WR",0,0,0,0,1017,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r2sr6cbma4c7wc3isejj"
"13","00-0034844","Saquon Barkley","RB",0,0,1140,7,273,2,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1"
"14","00-0034855","Baker Mayfield","QB",3693,26,382,1,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2uufyghiphx4oihgucm"
"15","00-0034857","Josh Allen","QB",3668,25,579,14,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z"
"16","00-0034869","Sam Darnold","QB",4048,25,95,0,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild"
"17","00-0034960","Jakobi Meyers","WR",0,0,13,0,835,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qui5ajbevlk7pfjpcufz"
"18","00-0035261","Tony Pollard","RB",0,0,1082,5,206,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dvpdczetkdhrqpm8izmd"
"19","00-0035640","DK Metcalf","WR",0,0,12,1,850,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tknefloqsleltfmslj2y"
"20","00-0035676","A.J. Brown","WR",0,0,0,0,1003,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw"
"21","00-0035700","Josh Jacobs","RB",0,0,929,13,282,1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo"
"22","00-0035710","Daniel Jones","QB",3101,19,164,5,0,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nhuiypfjzpkisxllinyv"
"23","00-0036040","Juwan Johnson","TE",0,0,0,0,889,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wuyyzdqkh5fve8t7kfuv"
"24","00-0036139","Rico Dowdle","RB",0,0,1076,6,297,1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvnrzndsiaojvvxz8vo5"
"25","00-0036223","Jonathan Taylor","RB",0,0,1585,18,378,2,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk"
